AND|CC-NP-AND
AS|NNP-NP-AS
Accordingly|RB-ADVP-Accordingly
Additionally|RB-ADVP-Additionally
Afterwards|RB-ADVP-Afterwards
Afterward|RB-ADVP-Afterward
After|IN-ADVP-After
After|IN-PP-After
After|IN-SBAR-After
Also|RB-ADJP-Also
Also|RB-ADVP-Also
Also|RB-S-Also
Alternatively|RB-ADVP-Alternatively
Although|IN-SBAR-Although
And|CC-ADVP-And
And|CC-FRAG-And
And|CC-NP-And
And|CC-S-And
And|CC-SBARQ-And
And|CC-SINV-And
And|CC-SQ-And
As a result|PP-S-IN-NP
As an alternative|PP-S-IN-NP
As if|SBAR-S-IN-IN-S
As if|SBAR-S-RB-IN-S
As long as|ADVP-S-ADVP-PP
As long as|ADVP-S-ADVP-SBAR
As soon as|ADVP-S-ADVP-SBAR
As well|ADVP-ADVP-RB-RB
As well|ADVP-S-RB-RB
As|IN-PP-As
As|IN-S-As
As|IN-SBAR-As
As|IN-WHNP-As
As|RB-ADVP-As
As|RB-QP-As
As|RB-S-As
Because|IN-ADVP-Because
Because|IN-PP-Because
Because|IN-S-Because
Because|IN-SBAR-Because
Before|IN-ADVP-Before
Before|IN-PP-Before
Before|IN-SBAR-Before
Besides|IN-ADVP-Besides
Besides|IN-PP-Besides
Besides|RB-ADVP-Besides
But|CC-ADVP-But
But|CC-FRAG-But
But|CC-NP-But
But|CC-S-But
But|CC-SBARQ-But
But|CC-SINV-But
But|CC-SQ-But
By comparison|PP-S-IN-NP
By contrast|PP-S-IN-NP
By then|PP-S-IN-ADVP
By then|PP-S-IN-NP
Consequently|RB-ADVP-Consequently
Conversely|RB-ADVP-Conversely
Earlier|JJR-NP-Earlier
Earlier|RB-ADVP-Earlier
Earlier|RB-NP-Earlier
Earlier|RB-SBAR-Earlier
Earlier|RBR-ADVP-Earlier
Earlier|RBR-NP-Earlier
Either or|S-NULL-NP-NP-VP-.
Either or|S-SINV-S-*COMMA*-CC-S
Else|NNP-NP-Else
Except|IN-PP-Except
Except|IN-SBAR-Except
FOR|IN-NP-FOR
FOR|IN-PP-FOR
Finally|RB-ADVP-Finally
For example|PP-S-IN-NP
For example|PP-SQ-IN-NP
For instance|PP-S-IN-NP
For instance|SBAR-NULL-IN-NN-.
For|IN-ADVP-For
For|IN-PP-For
For|IN-S-For
For|IN-SBAR-For
For|IN-WHPP-For
Furthermore|RB-ADVP-Furthermore
Further|JJ-NP-Further
Further|RB-ADVP-Further
Hence|RB-ADJP-Hence
Hence|RB-ADVP-Hence
Hence|RB-FRAG-Hence
However|RB-ADVP-However
However|WRB-WHADJP-However
IF|IN-PP-IF
IF|IN-SBAR-IF
If then|S-NULL-PP-PRN-NP-VP-.-''
If then|S-NULL-SBAR-*COMMA*-ADVP-NP-VP-.
If then|S-NULL-SBAR-*COMMA*-ADVP-NP-VP-.-''
If then|S-NULL-SBAR-*COMMA*-RB-NP-VP-.-''
If then|S-NULL-SBAR-*COMMA*-RB-VP-.
If then|S-NULL-SBAR-*COMMA*-SBAR-*COMMA*-ADVP-S-CC-SINV-*COMMA*-CC-S-.
If then|S-NULL-``-SBAR-*COMMA*-ADVP-NP-VP-.
If then|S-NULL-``-SBAR-*COMMA*-ADVP-NP-VP-.-''
If then|S-NULL-``-SBAR-PRN-ADVP-NP-VP-.-''
If then|S-S-SBAR-*COMMA*-ADVP-NP-VP
If then|S-S-SBAR-*COMMA*-SBAR-*COMMA*-ADVP-NP-VP
If then|S-SINV-SBAR-*COMMA*-ADVP-ADVP-NP-VP
If then|S-SINV-SBAR-*COMMA*-ADVP-NP-VP
If then|S-SINV-SBAR-*COMMA*-RB-NP-VP
If then|S-VP-SBAR-*COMMA*-ADVP-NP-VP
If then|SBAR-S-IN-S
If|IN-PP-If
If|IN-S-If
If|IN-SBAR-If
In addition|NONE_TREE
In addition|PP-FRAG-IN-NP
In addition|PP-PP-IN-NP
In addition|PP-S-IN-NP
In contrast|PP-S-IN-NP
In fact|PP-S-IN-NP
In other words|PP-S-IN-NP
In particular|PP-S-IN-ADJP
In particular|PP-S-IN-NP
In short|PP-S-IN-ADJP
In sum|PP-S-IN-NP
In the end|PP-S-IN-NP
In the end|PP-SBARQ-IN-NP
Indeed|RB-ADVP-Indeed
Insofar as|S-NULL-CC-SBAR-*COMMA*-NP-VP-.
Instead|RB-ADVP-Instead
Instead|RB-PP-Instead
Later|RB-ADVP-Later
Later|RB-NP-Later
Likewise|RB-ADVP-Likewise
Meantime|RB-ADVP-Meantime
Meanwhile|RB-ADVP-Meanwhile
Moreover|RB-ADVP-Moreover
Neither nor|NP-NP-DT-NP-CC-NP
Neither nor|NP-S-CC-NP-CC-NP
Neither nor|S-NULL-CC-NP-VP-.
Neither nor|S-NULL-PP-*COMMA*-NP-VP-.
Nevertheless|RB-ADVP-Nevertheless
Next|IN-S-Next
Next|JJ-ADVP-Next
Next|JJ-NP-Next
Next|JJ-PP-Next
Next|NNP-NP-Next
Next|RB-ADVP-Next
Nonetheless|RB-ADVP-Nonetheless
Nor|CC-FRAG-Nor
Nor|CC-S-Nor
Nor|CC-SINV-Nor
Nor|CC-SQ-Nor
Now that|ADVP-S-RB-SBAR
Now that|S-NULL-ADVP-NP-VP-.
Now that|SBAR-S-ADVP-IN-S
ONCE|RB-ADJP-ONCE
ONCE|VBG-VP-ONCE
On the contrary|PP-S-IN-NP
On the other hand|PP-S-IN-NP
Once|IN-SBAR-Once
Once|RB-ADVP-Once
Once|RB-S-Once
Once|RB-SBAR-Once
Or|CC-ADVP-Or
Or|CC-FRAG-Or
Or|CC-NP-Or
Or|CC-PP-Or
Or|CC-S-Or
Or|CC-SBARQ-Or
Or|CC-SQ-Or
Otherwise|RB-ADVP-Otherwise
Overall|JJ-NP-Overall
Overall|RB-ADVP-Overall
Plus|CC-NP-Plus
Plus|NNP-ADVP-Plus
Plus|NNP-NP-Plus
Previously|RB-ADVP-Previously
Rather|RB-ADVP-Rather
Rather|RB-CONJP-Rather
Rather|RB-PP-Rather
Regardless|RB-ADVP-Regardless
Separately|RB-ADVP-Separately
Similarly|RB-ADVP-Similarly
Since|IN-PP-Since
Since|IN-SBAR-Since
So|CC-FRAG-So
So|CC-S-So
So|CC-SBARQ-So
So|IN-ADVP-So
So|IN-S-So
So|IN-SBAR-So
So|NONE_TREE
So|RB-ADJP-So
So|RB-ADVP-So
So|RB-FRAG-So
So|RB-NP-So
So|RB-S-So
So|RB-SBARQ-So
So|RB-SINV-So
Specifically|RB-ADVP-Specifically
Still|RB-ADVP-Still
Then|RB-ADVP-Then
Then|RB-NP-Then
Then|RB-S-Then
Then|RB-SINV-Then
Thereafter|RB-ADVP-Thereafter
Therefore|RB-ADVP-Therefore
Though|IN-SBAR-Though
Thus|RB-ADVP-Thus
Thus|RB-S-Thus
Till|IN-PP-Till
Ultimately|RB-ADVP-Ultimately
Unless|IN-S-Unless
Unless|IN-SBAR-Unless
Until|IN-PP-Until
Until|IN-SBAR-Until
WHEN|WRB-WHADVP-WHEN
When and if|SBAR-S-SBAR-CC-SBAR
When|NONE_TREE
When|WRB-WHADVP-When
When|WRB-WHNP-When
Whereas|NNS-NP-Whereas
While|IN-PP-While
While|IN-SBAR-While
Yet|CC-S-Yet
Yet|RB-ADVP-Yet
Yet|RB-FRAG-Yet
Yet|RB-S-Yet
accordingly|RB-ADVP-accordingly
accordingly|RB-NP-accordingly
additionally|RB-ADVP-additionally
afterwards|RB-ADVP-afterwards
afterwards|VBD-VP-afterwards
afterward|RB-ADVP-afterward
after|IN-ADVP-after
after|IN-NP-after
after|IN-PP-after
after|IN-SBAR-after
after|IN-WHPP-after
